date	title	hostname	category	djia_label	djia_delta	sp_label	sp_delta
2014-03-10	Fed official says weak data caused by weather, should not slow taper	www.latimes.com	b	1	34.419921	1	0.689941
2014-03-10	Fed's Charles Plosser sees high bar for change in pace of tapering	www.livemint.com	b	1	34.419921	1	0.689941
2014-03-10	US open: Stocks fall after Fed official hints at accelerated tapering	www.ifamagazine.com	b	1	34.419921	1	0.689941
2014-03-10	Fed risks falling 'behind the curve', Charles Plosser says	www.ifamagazine.com	b	1	34.419921	1	0.689941
2014-03-10	Fed's Plosser: Nasty Weather Has Curbed Job Growth	www.moneynews.com	b	1	34.419921	1	0.689941
2014-03-10	Plosser: Fed May Have to Accelerate Tapering Pace	www.nasdaq.com	b	1	34.419921	1	0.689941
2014-03-10	Fed's Plosser: Taper pace may be too slow	www.marketwatch.com	b	1	34.419921	1	0.689941
2014-03-10	Fed's Plosser expects US unemployment to fall to 6.2% by the end of 2014	www.fxstreet.com	b	1	34.419921	1	0.689941
2014-03-10	US jobs growth last month hit by weather:Fed President Charles Plosser	economictimes.indiatimes.com	b	1	34.419921	1	0.689941
2014-03-10	ECB unlikely to end sterilisation of SMP purchases - traders	www.iii.co.uk	b	1	34.419921	1	0.689941
2014-03-10	ECB unlikely to end sterilization of SMP purchases: traders	in.reuters.com	b	1	34.419921	1	0.689941
2014-03-10	EU's half-baked bank union could work	blogs.reuters.com	b	1	34.419921	1	0.689941
2014-03-10	Europe reaches crunch point on banking union	in.reuters.com	b	1	34.419921	1	0.689941
2014-03-10	ECB FOCUS-Stronger euro drowns out ECB's message to keep rates low for  ...	in.reuters.com	b	1	34.419921	1	0.689941
2014-03-10	EU aims for deal on tackling failing banks	main.omanobserver.om	b	1	34.419921	1	0.689941
2014-03-10	Forex - Pound drops to one-month lows against euro	www.nasdaq.com	b	1	34.419921	1	0.689941
2014-03-10	Noyer Says Strong Euro Creates Unwarranted Economic Pressure	www.sfgate.com	b	1	34.419921	1	0.689941
2014-03-10	EU Week Ahead March 10-14: Bank Resolution, Transparency, Ukraine	blogs.wsj.com	b	1	34.419921	1	0.689941
2014-03-10	ECB member Noyer is 'very open to all kinds of tools'	www.ifamagazine.com	b	1	34.419921	1	0.689941
2014-03-10	Euro Anxieties Wane as Bunds Top Treasuries, Spain Debt Rallies	www.businessweek.com	b	1	34.419921	1	0.689941
2014-03-10	Noyer Says Strong Euro Creates Unwarranted Economic Pressure (1)	www.businessweek.com	b	1	34.419921	1	0.689941
2014-03-10	Noyer Says Stronger Euro Creates Unwarranted Pressure on Economy	www.sfgate.com	b	1	34.419921	1	0.689941
2014-03-10	Bad loan triggers key feature in ECB bank test announcement: sources	www.globalpost.com	b	1	34.419921	1	0.689941
2014-03-10	China's trade deficit and structural worries in Europe, among the main issues	www.fxstreet.com	b	1	34.419921	1	0.689941
2014-03-10	10 Things You Need To Know This Morning	www.businessinsider.com	b	1	34.419921	1	0.689941
2014-03-10	ECB's Noyer not Happy With Euro Strength -- Update	online.wsj.com	b	1	34.419921	1	0.689941
2014-03-10	Eurozone banks' sovereign exposure hits new high	www.ekathimerini.com	b	1	34.419921	1	0.689941
2014-03-10	ECB to reveal bad loan hurdles for euro zone bank test	www.irishtimes.com	b	1	34.419921	1	0.689941
2014-03-10	Forex Market: EUR/USD retreats from 2-1/2-year highs as stronger euro seen  ...	www.binarytribune.com	b	1	34.419921	1	0.689941
2014-03-10	REFILE-Bad loan triggers key feature in ECB bank test announcement- sources	in.reuters.com	b	1	34.419921	1	0.689941
2014-03-10	UPDATE 1-ECB to reveal bad loan hurdles for euro zone bank test -sources	in.reuters.com	b	1	34.419921	1	0.689941
2014-03-10	ECB to reveal bad loan hurdles for euro zone bank test - sources	www.euronews.com	b	1	34.419921	1	0.689941
2014-03-10	ECB requires tougher call on bad loan definition	www.ifamagazine.com	b	1	34.419921	1	0.689941
2014-03-10	ECB to reveal bad loan hurdles for bank tests?	www.rte.ie	b	1	34.419921	1	0.689941
2014-03-10	10 Things You Need To Know Before The Opening Bell	www.businessinsider.in	b	1	34.419921	1	0.689941
2014-03-10	Central banks must contain threats from low prices: ECB's Noyer	www.reuters.com	b	1	34.419921	1	0.689941
2014-03-10	UPDATE 1-Central banks must contain threat from low prices -Noyer	in.reuters.com	b	1	34.419921	1	0.689941
2014-03-10	ECB's Noyer says 'not happy' with euro's rise	in.reuters.com	b	1	34.419921	1	0.689941
2014-03-10	ECB's Noyer: Low inflation may hamper adjustment	www.marketwatch.com	b	1	34.419921	1	0.689941
2014-03-10	ECB's Christian Noyer says 'not happy' with euro's rise	economictimes.indiatimes.com	b	1	34.419921	1	0.689941
2014-03-10	Sterling at one-month low as ECB policy stance lifts euro	economictimes.indiatimes.com	b	1	34.419921	1	0.689941
2014-03-10	EU aims for deal on tackling failing banks next week	money.msn.com	b	1	34.419921	1	0.689941
2014-03-10	Failing banks focus of EU talks	www.irishexaminer.com	b	1	34.419921	1	0.689941
2014-03-10	Business growth in euro zone rises to 32-month high	main.omanobserver.om	b	1	34.419921	1	0.689941
2014-03-10	Poking the eurozone bear	www.europeanvoice.com	b	1	34.419921	1	0.689941
2014-03-10	ECB Unlocks Door for Further Euro Strength - Will Data Allow?	www.dailyfx.com	b	1	34.419921	1	0.689941
2014-03-10	Omega's Cooperman says eBay should spin off portion of PayPal: CNBC	www.chicagotribune.com	b	1	34.419921	1	0.689941
2014-03-10	EBay, Icahn talk smack	blog.seattlepi.com	b	1	34.419921	1	0.689941
2014-03-10	Both ways	www.business-standard.com	b	1	34.419921	1	0.689941
2014-03-10	Why eBay Spinning Off Paypal Makes Sense	www.dailyfinance.com	b	1	34.419921	1	0.689941
2014-03-10	Carl Icahn Rift Hurts eBay (EBAY)	www.thestreet.com	b	1	34.419921	1	0.689941
2014-03-10	EBay rejects Icahn slate of directors	www.news-sentinel.com	b	1	34.419921	1	0.689941
2014-03-10	CARL ICAHN: eBay Shareholders Lost $4 Billion Because Of The CEO's  ...	www.businessinsider.in	b	1	34.419921	1	0.689941
2014-03-10	Ebay to Shareholders: Vote Against Icahn Nominees	www.foxbusiness.com	b	1	34.419921	1	0.689941
